Padstack Used	Location
ack name in the Bounding Box drawn in the mitikas.mcm file are listed below.
Padstack Used	Location
368.	"L04-L05"	(-10355.0 -3645.0)
369.	"SMALL_PTH"	(-10500.0 -3500.0)
370.	"L06-L07"	(-10355.0 -3645.0)
371.	"L07-L08"	(-10380.0 -3750.0)
372.	"L08-L09"	(-10295.0 -3685.0)
373.	"L09-L10"	(-10230.0 -3770.0)
374.	"L09-L10"	(-9770.0 -2230.0)
375.	"L07-L08"	(-9620.0 -2250.0)
376.	"L06-L07"	(-9645.0 -2355.0)
377.	"L03-L04"	(-9645.0 -2456.0)
378.	"L04-L05"	(-9645.0 -2355.0)
379.	"L07-L08"	(-9750.0 -2620.0)
380.	"L08-L09"	(-9705.0 -2310.0)
381.	"L04-L05"	(-9596.0 -1695.0)
382.	"SMALL_PTH"	(-9500.0 -1500.0)
383.	"L03-L04"	(-10254.0 -1645.0)
384.	"L02-L03"	(-10355.0 -1645.0)
385.	"L04-L05"	(-10355.0 -1645.0)
386.	"SMALL_PTH"	(-10500.0 -1500.0)
387.	"L06-L07"	(-10355.0 -1645.0)
388.	"L07-L08"	(-10380.0 -1750.0)
389.	"L08-L09"	(-10295.0 -1685.0)
390.	"L09-L10"	(-10230.0 -1770.0)
391.	"L04-L05"	(-9930.0 -730.0)
392.	"L08-L10"	(-10031.0 -540.0)
393.	"L08-L10"	(-10904.0 -1096.0)
394.	"L08-L10"	(-9977.0 -1166.0)
395.	"L04-L05"	(-10055.0 -220.0)
396.	"SMALL_PTH"	(-11000.0 -1000.0)
397.	"L04-L05"	(-9657.0 -250.0)
398.	"SMALL_PTH"	(-9500.0 -500.0)
399.	"L04-L05"	(-10500.0 -237.0)
400.	"SMALL_PTH"	(-10500.0 -500.0)
401.	"L06-L07"	(-10355.0 -355.0)
402.	"L07-L08"	(-10250.0 -380.0)
403.	"L08-L09"	(-10315.0 -295.0)
404.	"L09-L10"	(-10230.0 -230.0)
405.	"L04-L05"	(-9795.0 310.0)
406.	"L08-L10"	(-10664.0 1013.0)
407.	"L08-L10"	(-9868.0 163.0)
