Padstack Used	Location
ack name in the Bounding Box drawn in the mitikas.mcm file are listed below.
Padstack Used	Location
13167.	"L04-L05"	(8645.0 -4355.0)
13168.	"L02-L03"	(8645.0 -4355.0)
13169.	"L01-L02"	(8645.0 -4456.0)
13170.	"L03-L04"	(8645.0 -4456.0)
13171.	"L02-L03"	(8645.0 -4645.0)
13172.	"L04-L05"	(8645.0 -4645.0)
13173.	"L03-L04"	(8645.0 -4746.0)
13174.	"L01-L02"	(8645.0 -4746.0)
13175.	"L07-L08"	(8749.0 -4565.0)
13176.	"L09-L10"	(8770.0 -4230.0)
13177.	"L08-L09"	(8705.0 -4690.0)
13178.	"L09-L10"	(8770.0 -4770.0)
13179.	"L08-L09"	(8690.0 -4295.0)
13180.	"L06-L07"	(8645.0 -4645.0)
13181.	"L06-L07"	(8645.0 -4355.0)
13182.	"L07-L08"	(8750.0 -4380.0)
13183.	"L08-L10"	(9644.0 -4053.0)
13184.	"L08-L10"	(9659.0 -5042.0)
13185.	"L09-L10"	(9770.0 -5230.0)
13186.	"L09-L10"	(9230.0 -5230.0)
13187.	"L09-L10"	(8770.0 -5230.0)
13188.	"L03-L04"	(9746.0 -4645.0)
13189.	"L02-L03"	(9645.0 -4645.0)
13190.	"L04-L05"	(9645.0 -4645.0)
13191.	"SMALL_PTH"	(9500.0 -4500.0)
13192.	"L06-L07"	(9645.0 -4645.0)
13193.	"L07-L08"	(9620.0 -4750.0)
13194.	"L08-L09"	(9705.0 -4685.0)
13195.	"L09-L10"	(9770.0 -4770.0)
13196.	"L01-L02"	(9700.0 -3150.0)
13197.	"L08-L10"	(8738.0 -3147.0)
13198.	"L08-L10"	(8733.0 -3945.0)
13199.	"L04-L05"	(8645.0 -2645.0)
13200.	"L03-L04"	(8645.0 -2746.0)
13201.	"L01-L02"	(8645.0 -2746.0)
13202.	"L08-L09"	(8705.0 -2690.0)
13203.	"L09-L10"	(8770.0 -2770.0)
13204.	"L06-L07"	(8645.0 -2645.0)
13205.	"L08-L10"	(9801.0 -2763.0)
13206.	"L04-L05"	(9735.0 -2745.0)
13207.	"L04-L05"	(8985.0 -3565.0)
13208.	"L04-L05"	(9900.0 -3485.0)
13209.	"L04-L05"	(9045.0 -3130.0)
13210.	"L08-L09"	(9648.0 -2898.0)
13211.	"L07-L08"	(9601.0 -2759.0)
13212.	"L06-L07"	(9500.0 -2705.06)
13213.	"SMALL_PTH"	(9500.0 -2500.0)
13214.	"L04-L05"	(9500.0 -2705.06)
13215.	"L09-L10"	(9500.0 -2881.84)
13216.	"L03-L04"	(8571.42 -3223.52)
13217.	"L03-L04"	(8571.42 -3633.64)
13218.	"L04-L05"	(8681.0 -3655.0)
13219.	"L03-L04"	(8776.48 -3428.58)
13220.	"L07-L08"	(8761.63 -3591.92)
13221.	"L08-L09"	(8775.77 -3485.86)
13222.	"L09-L10"	(8881.84 -3500.0)
13223.	"L06-L07"	(8705.06 -3500.0)
13224.	"L04-L05"	(8705.06 -3500.0)
13225.	"L03-L04"	(9746.0 -3645.0)
13226.	"L02-L03"	(9645.0 -3645.0)
13227.	"L04-L05"	(9645.0 -3645.0)
13228.	"SMALL_PTH"	(9500.0 -3500.0)
13229.	"L06-L07"	(9645.0 -3645.0)
13230.	"L07-L08"	(9620.0 -3750.0)
13231.	"L08-L09"	(9705.0 -3685.0)
13232.	"L09-L10"	(9770.0 -3770.0)
13233.	"SMALL_PTH"	(10000.0 -3000.0)
13234.	"L04-L05"	(9697.0 -3000.0)
13235.	"L08-L10"	(8724.0 -1956.0)
13236.	"L04-L05"	(8645.0 -2355.0)
13237.	"L02-L03"	(8645.0 -2355.0)
13238.	"L01-L02"	(8645.0 -2456.0)
13239.	"L03-L04"	(8645.0 -2456.0)
13240.	"L02-L03"	(8645.0 -2645.0)
13241.	"L07-L08"	(8755.0 -2578.0)
13242.	"L09-L10"	(8770.0 -2230.0)
13243.	"L08-L09"	(8690.0 -2295.0)
13244.	"L06-L07"	(8645.0 -2355.0)
13245.	"L07-L08"	(8750.0 -2380.0)
13246.	"L04-L05"	(9355.0 -1355.0)
13247.	"SMALL_PTH"	(9500.0 -1500.0)
13248.	"L06-L07"	(9355.0 -1355.0)
13249.	"L07-L08"	(9649.0 -2002.0)
13250.	"L06-L07"	(9762.0 -2001.0)
13251.	"SMALL_PTH"	(10000.0 -2000.0)
13252.	"L07-L08"	(9355.0 -2000.0)
13253.	"L06-L07"	(9221.0 -2001.0)
13254.	"SMALL_PTH"	(9000.0 -2000.0)
13255.	"L04-L05"	(9250.0 -2183.0)
13256.	"L03-L04"	(9363.0 -2074.0)
13257.	"L02-L03"	(9341.0 -1882.0)
13258.	"L06-L07"	(9294.94 -2500.0)
13259.	"L09-L10"	(9500.0 -2118.16)
13260.	"L07-L08"	(9761.63 -2591.92)
13261.	"L03-L04"	(9753.0 -2390.0)
13262.	"L04-L05"	(9705.06 -2500.0)
13263.	"L04-L05"	(9500.0 -2294.94)
13264.	"L03-L04"	(9571.42 -2223.52)
13265.	"L07-L08"	(9591.92 -2238.37)
13266.	"L06-L07"	(9500.0 -2294.94)
13267.	"L08-L09"	(9489.39 -2220.69)
13268.	"L03-L04"	(9571.42 -2633.64)
13269.	"L06-L07"	(9705.06 -2500.0)
13270.	"L08-L09"	(9775.77 -2485.86)
13271.	"L09-L10"	(9118.16 -2500.0)
13272.	"L07-L08"	(9445.0 -2576.0)
13273.	"L08-L09"	(9428.69 -2454.61)
13274.	"L03-L04"	(9366.36 -2428.58)
13275.	"L04-L05"	(9294.94 -2500.0)
13276.	"L04-L05"	(8645.0 -1355.0)
13277.	"L03-L04"	(8645.0 -1456.0)
13278.	"L04-L05"	(8645.0 -1645.0)
13279.	"L03-L04"	(8645.0 -1746.0)
13280.	"L07-L08"	(8736.0 -1576.0)
13281.	"L08-L09"	(8705.0 -1690.0)
13282.	"L09-L10"	(8770.0 -1770.0)
13283.	"L06-L07"	(8645.0 -1645.0)
13284.	"L06-L07"	(8645.0 -1355.0)
13285.	"L04-L05"	(9625.0 -1035.0)
13286.	"L01-L02"	(9150.0 -1025.0)
13287.	"L01-L02"	(9750.0 -1200.0)
13288.	"L04-L05"	(8645.0 -355.0)
13289.	"L02-L03"	(8645.0 -355.0)
13290.	"L01-L02"	(8645.0 -456.0)
13291.	"L03-L04"	(8645.0 -456.0)
13292.	"L02-L03"	(8645.0 -645.0)
13293.	"L04-L05"	(8645.0 -645.0)
13294.	"L03-L04"	(8645.0 -746.0)
13295.	"L01-L02"	(8645.0 -746.0)
13296.	"L07-L08"	(8620.0 -750.0)
13297.	"L09-L10"	(8770.0 -230.0)
13298.	"L08-L09"	(8705.0 -690.0)
13299.	"L09-L10"	(8770.0 -770.0)
13300.	"L08-L09"	(8690.0 -295.0)
13301.	"L06-L07"	(8645.0 -645.0)
13302.	"L06-L07"	(8645.0 -355.0)
13303.	"L07-L08"	(8750.0 -380.0)
13304.	"L08-L10"	(9654.0 -933.0)
13305.	"L03-L04"	(9254.0 -1355.0)
13306.	"L02-L03"	(9256.0 -1179.0)
13307.	"L07-L08"	(9380.0 -1250.0)
13308.	"L08-L09"	(9295.0 -1315.0)
13309.	"L09-L10"	(9230.0 -1230.0)
13310.	"L07-L08"	(9380.0 -250.0)
13311.	"SMALL_PTH"	(9500.0 -500.0)
13312.	"L06-L07"	(9355.0 -355.0)
13313.	"L04-L05"	(9355.0 -355.0)
13314.	"L09-L10"	(9230.0 -230.0)
13315.	"L08-L09"	(9175.0 -321.0)
13316.	"SMALL_PTH"	(10000.0 -1000.0)
13317.	"L04-L05"	(9832.0 -837.0)
13318.	"SMALL_PTH"	(10000.0 0.0)
13319.	"L09-L10"	(8770.0 -1230.0)
13320.	"L08-L09"	(8690.0 -1295.0)
13321.	"L07-L08"	(8750.0 -1380.0)
13322.	"L07-L08"	(9000.0 -362.0)
13323.	"L06-L07"	(9000.0 -235.0)
13324.	"SMALL_PTH"	(9000.0 0.0)
13325.	"L08-L10"	(9290.0 -22.0)
13326.	"L08-L10"	(8970.0 -42.0)
13327.	"L09-L10"	(9230.0 770.0)
13328.	"L07-L08"	(9380.0 750.0)
13329.	"L06-L07"	(9355.0 645.0)
13330.	"L01-L02"	(9355.0 254.0)
13331.	"L03-L04"	(9355.0 254.0)
13332.	"L02-L03"	(9355.0 355.0)
13333.	"L04-L05"	(9355.0 355.0)
13334.	"L02-L03"	(9355.0 645.0)
13335.	"L03-L04"	(9355.0 544.0)
13336.	"L01-L02"	(9355.0 544.0)
13337.	"L04-L05"	(9355.0 645.0)
13338.	"L07-L08"	(9250.0 380.0)
13339.	"L08-L09"	(9315.0 295.0)
13340.	"L09-L10"	(9230.0 230.0)
13341.	"L04-L05"	(9645.0 645.0)
13342.	"L02-L03"	(9645.0 645.0)
13343.	"L01-L02"	(9645.0 544.0)
13344.	"L03-L04"	(9645.0 544.0)
13345.	"L02-L03"	(9645.0 355.0)
13346.	"L04-L05"	(9645.0 355.0)
13347.	"L03-L04"	(9645.0 254.0)
13348.	"L01-L02"	(9645.0 254.0)
13349.	"SMALL_PTH"	(9500.0 500.0)
13350.	"L07-L08"	(9620.0 250.0)
13351.	"L09-L10"	(9770.0 770.0)
13352.	"L08-L09"	(9705.0 310.0)
13353.	"L09-L10"	(9770.0 230.0)
13354.	"L08-L09"	(9690.0 705.0)
13355.	"L06-L07"	(9645.0 355.0)
13356.	"L06-L07"	(9645.0 645.0)
13357.	"L07-L08"	(9750.0 620.0)
13358.	"L06-L07"	(9355.0 355.0)
13359.	"L08-L09"	(9295.0 690.0)
13360.	"L08-L10"	(9796.0 -27.0)
13361.	"L04-L05"	(9450.0 15.0)
13362.	"L04-L05"	(8645.0 645.0)
13363.	"L03-L04"	(8645.0 544.0)
13364.	"L04-L05"	(8645.0 355.0)
13365.	"L03-L04"	(8645.0 254.0)
13366.	"L07-L08"	(8620.0 250.0)
13367.	"L09-L10"	(8770.0 770.0)
13368.	"L08-L09"	(8705.0 310.0)
13369.	"L09-L10"	(8770.0 230.0)
13370.	"L08-L09"	(8690.0 705.0)
13371.	"L06-L07"	(8645.0 355.0)
13372.	"L06-L07"	(8645.0 645.0)
13373.	"L07-L08"	(8750.0 620.0)
13374.	"L04-L05"	(8718.5 43.5)
13375.	"L07-L08"	(9000.0 638.0)
13376.	"L06-L07"	(9000.0 764.0)
13377.	"SMALL_PTH"	(9000.0 1000.0)
13378.	"L04-L05"	(8908.0 778.0)
13379.	"L02-L03"	(8765.0 -80.0)
13380.	"L03-L04"	(8906.0 -75.0)
13381.	"L01-L02"	(10571.42 -15776.48)
13382.	"L03-L04"	(10571.42 -15776.48)
13383.	"L02-L03"	(10500.0 -15705.06)
13384.	"L04-L05"	(10500.0 -15705.06)
13385.	"L07-L08"	(10408.08 -15761.63)
13386.	"L08-L09"	(10514.14 -15775.77)
13387.	"L09-L10"	(10500.0 -15881.84)
13388.	"SMALL_PTH"	(10500.0 -15500.0)
13389.	"L06-L07"	(10500.0 -15705.06)
13390.	"L09-L10"	(11118.16 -16500.0)
13391.	"L09-L10"	(9881.84 -16500.0)
13392.	"L09-L10"	(10881.84 -16500.0)
13393.	"L08-L09"	(10779.31 -16489.39)
13394.	"L09-L10"	(10500.0 -16118.16)
13395.	"L08-L09"	(10489.39 -16220.69)
13396.	"L07-L08"	(10761.63 -16591.92)
13397.	"L07-L08"	(10238.37 -16408.08)
13398.	"L07-L08"	(10408.08 -16761.63)
13399.	"L08-L09"	(10514.14 -16775.77)
13400.	"L09-L10"	(10500.0 -16881.84)
13401.	"L09-L10"	(10118.16 -16500.0)
13402.	"L08-L09"	(10220.69 -16510.61)
13403.	"L07-L08"	(10591.92 -16238.37)
13404.	"L08-L10"	(11014.0 -14351.0)
13405.	"L08-L10"	(10002.0 -14351.0)
13406.	"L09-L10"	(10881.84 -15500.0)
13407.	"L09-L10"	(10118.16 -15500.0)
13408.	"L07-L08"	(10238.37 -15408.08)
13409.	"L06-L07"	(10294.94 -15500.0)
13410.	"L02-L03"	(10294.94 -15500.0)
13411.	"L03-L04"	(10366.36 -15571.42)
13412.	"L01-L02"	(10366.36 -15571.42)
13413.	"L04-L05"	(10294.94 -15500.0)
13414.	"L07-L08"	(10761.63 -15591.92)
13415.	"L08-L09"	(10779.31 -15489.39)
13416.	"L06-L07"	(10705.06 -15500.0)
13417.	"L04-L05"	(10500.0 -15294.94)
13418.	"L02-L03"	(10500.0 -15294.94)
13419.	"L01-L02"	(10571.42 -15366.36)
13420.	"L03-L04"	(10571.42 -15366.36)
13421.	"L02-L03"	(10705.06 -15500.0)
13422.	"L04-L05"	(10705.06 -15500.0)
13423.	"L03-L04"	(10776.48 -15571.42)
13424.	"L01-L02"	(10776.48 -15571.42)
13425.	"L09-L10"	(10500.0 -15118.16)
13426.	"L08-L09"	(10489.39 -15220.69)
13427.	"L06-L07"	(10500.0 -15294.94)
13428.	"L07-L08"	(10591.92 -15238.37)
13429.	"L08-L09"	(10220.69 -15510.61)
13430.	"L09-L10"	(9881.84 -14500.0)
13431.	"L09-L10"	(11118.16 -14500.0)
13432.	"L09-L10"	(11118.16 -15500.0)
13433.	"L09-L10"	(9881.84 -15500.0)
13434.	"L06-L07"	(10355.0 -14355.0)
13435.	"L09-L10"	(10230.0 -14770.0)
13436.	"L08-L09"	(10315.0 -14705.0)
13437.	"L06-L07"	(10355.0 -14645.0)
13438.	"L07-L08"	(10250.0 -14620.0)
13439.	"L07-L08"	(10750.0 -14380.0)
13440.	"L06-L07"	(10645.0 -14355.0)
13441.	"L09-L10"	(10770.0 -14770.0)
13442.	"L07-L08"	(10620.0 -14750.0)
13443.	"L06-L07"	(10645.0 -14645.0)
13444.	"L08-L09"	(10705.0 -14690.0)
13445.	"L01-L02"	(11000.0 -14325.0)
13446.	"L08-L10"	(10971.0 -13171.0)
13447.	"L08-L10"	(11003.0 -13944.0)
13448.	"L08-L10"	(10018.0 -13928.0)
13449.	"L09-L10"	(10881.84 -13500.0)
13450.	"L09-L10"	(10118.16 -13500.0)
13451.	"L07-L08"	(10238.37 -13408.08)
13452.	"L06-L07"	(10294.94 -13500.0)
13453.	"L01-L02"	(10571.42 -13776.48)
13454.	"L03-L04"	(10571.42 -13776.48)
13455.	"L02-L03"	(10500.0 -13705.06)
13456.	"L04-L05"	(10500.0 -13705.06)
13457.	"L02-L03"	(10294.94 -13500.0)
13458.	"L03-L04"	(10366.36 -13571.42)
13459.	"L01-L02"	(10366.36 -13571.42)
13460.	"L04-L05"	(10294.94 -13500.0)
13461.	"L07-L08"	(10408.08 -13761.63)
13462.	"L08-L09"	(10514.14 -13775.77)
13463.	"L09-L10"	(10500.0 -13881.84)
13464.	"L07-L08"	(10761.63 -13591.92)
13465.	"L08-L09"	(10779.31 -13489.39)
13466.	"L06-L07"	(10705.06 -13500.0)
13467.	"L04-L05"	(10500.0 -13294.94)
13468.	"L02-L03"	(10500.0 -13294.94)
13469.	"L01-L02"	(10571.42 -13366.36)
13470.	"L03-L04"	(10571.42 -13366.36)
13471.	"L02-L03"	(10705.06 -13500.0)
13472.	"L04-L05"	(10705.06 -13500.0)
13473.	"L03-L04"	(10776.48 -13571.42)
13474.	"L01-L02"	(10776.48 -13571.42)
13475.	"SMALL_PTH"	(10500.0 -13500.0)
13476.	"L09-L10"	(10500.0 -13118.16)
13477.	"L08-L09"	(10489.39 -13220.69)
13478.	"L06-L07"	(10500.0 -13294.94)
13479.	"L07-L08"	(10591.92 -13238.37)
13480.	"L06-L07"	(10500.0 -13705.06)
13481.	"L08-L09"	(10220.69 -13510.61)
13482.	"L09-L10"	(11118.16 -13500.0)
13483.	"L09-L10"	(10230.0 -14230.0)
13484.	"L08-L09"	(10295.0 -14310.0)
13485.	"L07-L08"	(10380.0 -14250.0)
13486.	"L09-L10"	(10770.0 -14230.0)
13487.	"L08-L09"	(10690.0 -14295.0)
13488.	"L01-L02"	(10275.0 -13000.0)
13489.	"L01-L02"	(11025.0 -12325.0)
13490.	"L08-L10"	(10992.0 -12758.0)
13491.	"L01-L02"	(10355.0 -11746.0)
13492.	"L03-L04"	(10355.0 -11746.0)
13493.	"L09-L10"	(10230.0 -11770.0)
13494.	"L03-L04"	(10645.0 -11746.0)
13495.	"L01-L02"	(10645.0 -11746.0)
13496.	"SMALL_PTH"	(10500.0 -11500.0)
13497.	"L07-L08"	(10620.0 -11750.0)
13498.	"L09-L10"	(10770.0 -11770.0)
13499.	"L04-L05"	(10170.0 -11819.0)
13500.	"L03-L04"	(10746.0 -12645.0)
13501.	"L02-L03"	(10645.0 -12645.0)
13502.	"L04-L05"	(10645.0 -12645.0)
13503.	"SMALL_PTH"	(10500.0 -12500.0)
13504.	"L06-L07"	(10645.0 -12645.0)
13505.	"L07-L08"	(10620.0 -12750.0)
13506.	"L08-L09"	(10705.0 -12685.0)
13507.	"L09-L10"	(10770.0 -12770.0)
13508.	"L06-L07"	(10065.0 -11804.0)
13509.	"L04-L05"	(10540.0 -10910.0)
13510.	"L04-L05"	(11000.0 -10455.0)
13511.	"L01-L02"	(10725.0 -10700.0)
13512.	"L01-L02"	(9875.0 -11275.0)
13513.	"L09-L10"	(10230.0 -11230.0)
13514.	"L07-L08"	(10380.0 -11250.0)
13515.	"L06-L07"	(10355.0 -11355.0)
13516.	"L02-L03"	(10355.0 -11645.0)
13517.	"L04-L05"	(10355.0 -11645.0)
13518.	"L02-L03"	(10355.0 -11355.0)
13519.	"L03-L04"	(10355.0 -11456.0)
13520.	"L01-L02"	(10355.0 -11456.0)
13521.	"L04-L05"	(10355.0 -11355.0)
13522.	"L07-L08"	(10250.0 -11620.0)
13523.	"L08-L09"	(10315.0 -11705.0)
13524.	"L04-L05"	(10645.0 -11355.0)
13525.	"L02-L03"	(10645.0 -11355.0)
13526.	"L01-L02"	(10645.0 -11456.0)
13527.	"L03-L04"	(10645.0 -11456.0)
13528.	"L02-L03"	(10645.0 -11645.0)
13529.	"L04-L05"	(10645.0 -11645.0)
13530.	"L09-L10"	(10770.0 -11230.0)
13531.	"L08-L09"	(10705.0 -11690.0)
13532.	"L08-L09"	(10690.0 -11295.0)
13533.	"L06-L07"	(10645.0 -11645.0)
13534.	"L06-L07"	(10645.0 -11355.0)
13535.	"L07-L08"	(10750.0 -11380.0)
13536.	"L06-L07"	(10355.0 -11645.0)
13537.	"L08-L09"	(10295.0 -11310.0)
13538.	"L07-L08"	(9894.0 -10601.0)
13539.	"L06-L07"	(9998.0 -10705.0)
13540.	"L07-L08"	(9999.0 -11586.0)
13541.	"L04-L05"	(10645.0 -10645.0)
13542.	"SMALL_PTH"	(10500.0 -10500.0)
13543.	"L06-L07"	(10645.0 -10645.0)
13544.	"L07-L08"	(10620.0 -10750.0)
13545.	"L08-L09"	(10705.0 -10685.0)
13546.	"L09-L10"	(10770.0 -10770.0)
13547.	"L04-L05"	(10345.0 -9740.0)
13548.	"L04-L05"	(11080.0 -9580.0)
13549.	"L04-L05"	(10160.0 -9300.0)
13550.	"L08-L10"	(11008.0 -9194.0)
13551.	"L08-L10"	(11014.0 -9491.0)
13552.	"L04-L05"	(10635.0 -10140.0)
13553.	"L04-L05"	(10345.0 -10235.0)
13554.	"L04-L05"	(10645.0 -9645.0)
13555.	"SMALL_PTH"	(10500.0 -9500.0)
13556.	"L06-L07"	(10645.0 -9645.0)
13557.	"L07-L08"	(10620.0 -9750.0)
13558.	"L08-L09"	(10705.0 -9685.0)
13559.	"L09-L10"	(10770.0 -9770.0)
13560.	"L04-L05"	(10920.0 -9060.0)
13561.	"L04-L05"	(10500.0 -7845.0)
13562.	"L01-L02"	(10425.0 -8450.0)
13563.	"L08-L10"	(11040.0 -7886.0)
13564.	"L08-L10"	(11045.0 -8193.0)
13565.	"L08-L10"	(10352.0 -8982.0)
13566.	"L04-L05"	(10775.0 -8025.0)
13567.	"L09-L10"	(10500.0 -8118.16)
13568.	"L07-L08"	(10591.92 -8238.37)
13569.	"L06-L07"	(10500.0 -8294.94)
13570.	"L03-L04"	(10223.52 -8571.42)
13571.	"L04-L05"	(10294.94 -8500.0)
13572.	"L03-L04"	(10428.58 -8366.36)
13573.	"L04-L05"	(10500.0 -8294.94)
13574.	"L07-L08"	(10238.37 -8408.08)
13575.	"L08-L09"	(10224.23 -8514.14)
13576.	"L09-L10"	(10118.16 -8500.0)
13577.	"L04-L05"	(10705.06 -8500.0)
13578.	"L03-L04"	(10633.64 -8571.42)
13579.	"L04-L05"	(10500.0 -8705.06)
13580.	"L03-L04"	(10428.58 -8776.48)
13581.	"SMALL_PTH"	(10500.0 -8500.0)
13582.	"L07-L08"	(10408.08 -8761.63)
13583.	"L09-L10"	(10881.84 -8500.0)
13584.	"L08-L09"	(10510.61 -8779.31)
13585.	"L09-L10"	(10500.0 -8881.84)
13586.	"L08-L09"	(10779.31 -8489.39)
13587.	"L06-L07"	(10500.0 -8705.06)
13588.	"L06-L07"	(10705.06 -8500.0)
13589.	"L07-L08"	(10761.63 -8591.92)
13590.	"L06-L07"	(10294.94 -8500.0)
13591.	"L08-L09"	(10489.39 -8220.69)
13592.	"L04-L05"	(9985.0 -7510.0)
13593.	"L04-L05"	(10805.0 -6815.0)
13594.	"L01-L02"	(10425.0 -7800.0)
13595.	"L08-L10"	(9948.0 -7336.0)
13596.	"L08-L10"	(10043.0 -7848.0)
13597.	"L08-L10"	(11090.0 -6832.0)
13598.	"L03-L04"	(10746.0 -7645.0)
13599.	"L02-L03"	(10645.0 -7645.0)
13600.	"L04-L05"	(10645.0 -7645.0)
13601.	"SMALL_PTH"	(10500.0 -7500.0)
13602.	"L06-L07"	(10645.0 -7645.0)
13603.	"L07-L08"	(10620.0 -7750.0)
13604.	"L08-L09"	(10705.0 -7685.0)
13605.	"L09-L10"	(10770.0 -7770.0)
13606.	"L03-L04"	(10571.42 -6776.48)
13607.	"L02-L03"	(10500.0 -6705.06)
13608.	"L04-L05"	(10500.0 -6705.06)
13609.	"SMALL_PTH"	(10500.0 -6500.0)
13610.	"L06-L07"	(10500.0 -6705.06)
13611.	"L07-L08"	(10408.08 -6761.63)
13612.	"L08-L09"	(10514.14 -6775.77)
13613.	"L09-L10"	(10500.0 -6881.84)
13614.	"L04-L05"	(10500.0 -6055.0)
13615.	"L08-L10"	(10956.0 -6250.0)
13616.	"L08-L10"	(10308.0 -6002.0)
13617.	"L04-L05"	(10825.0 -5310.0)
13618.	"L04-L05"	(10065.0 -6380.0)
13619.	"L07-L08"	(10250.0 -5620.0)
13620.	"SMALL_PTH"	(10500.0 -5500.0)
13621.	"L06-L07"	(10355.0 -5645.0)
13622.	"L04-L05"	(10355.0 -5645.0)
13623.	"L08-L09"	(10315.0 -5705.0)
13624.	"L09-L10"	(10230.0 -5770.0)
13625.	"L01-L02"	(10425.0 -4875.0)
13626.	"L01-L02"	(11050.0 -4050.0)
13627.	"L08-L10"	(11019.0 -5084.0)
13628.	"L08-L10"	(11043.0 -4061.0)
13629.	"L08-L10"	(10333.0 -5008.0)
13630.	"L08-L10"	(10308.0 -4072.0)
13631.	"L04-L05"	(11125.0 -4400.0)
13632.	"L04-L05"	(10920.0 -4970.0)
13633.	"L04-L05"	(11205.0 -4815.0)
13634.	"L03-L04"	(10540.0 -4569.0)
13635.	"L02-L03"	(10645.0 -4645.0)
13636.	"L04-L05"	(10528.0 -4720.0)
13637.	"SMALL_PTH"	(10500.0 -4500.0)
13638.	"L06-L07"	(10645.0 -4645.0)
13639.	"L07-L08"	(10620.0 -4750.0)
13640.	"L08-L09"	(10705.0 -4685.0)
13641.	"L09-L10"	(10770.0 -4770.0)
13642.	"L04-L05"	(10555.0 -3015.0)
13643.	"L04-L05"	(11105.0 -3460.0)
13644.	"L08-L10"	(11011.0 -2974.0)
13645.	"L08-L10"	(10481.0 -2990.0)
13646.	"L09-L10"	(10230.0 -3230.0)
13647.	"L07-L08"	(10233.0 -3402.0)
13648.	"L06-L07"	(10355.0 -3355.0)
13649.	"L03-L04"	(10355.0 -3746.0)
13650.	"L04-L05"	(10355.0 -3645.0)
13651.	"L03-L04"	(10355.0 -3456.0)
13652.	"L04-L05"	(10355.0 -3355.0)
13653.	"L07-L08"	(10250.0 -3620.0)
13654.	"L08-L09"	(10315.0 -3705.0)
13655.	"L09-L10"	(10230.0 -3770.0)
13656.	"L04-L05"	(10645.0 -3355.0)
13657.	"L03-L04"	(10645.0 -3456.0)
13658.	"L04-L05"	(10645.0 -3645.0)
13659.	"L03-L04"	(10645.0 -3746.0)
13660.	"SMALL_PTH"	(10500.0 -3500.0)
13661.	"L07-L08"	(10620.0 -3750.0)
13662.	"L09-L10"	(10770.0 -3230.0)
13663.	"L08-L09"	(10705.0 -3690.0)
13664.	"L09-L10"	(10770.0 -3770.0)
13665.	"L08-L09"	(10690.0 -3295.0)
13666.	"L06-L07"	(10645.0 -3645.0)
13667.	"L06-L07"	(10645.0 -3355.0)
13668.	"L07-L08"	(10711.0 -3480.0)
13669.	"L06-L07"	(10355.0 -3645.0)
13670.	"L08-L09"	(10315.0 -3490.0)
13671.	"SMALL_PTH"	(10500.0 -2500.0)
13672.	"L07-L08"	(10299.0 -3138.0)
13673.	"L06-L07"	(10203.0 -3001.0)
13674.	"L04-L05"	(11015.0 -2285.0)
13675.	"L01-L02"	(10425.0 -1700.0)
13676.	"L01-L02"	(10175.0 -2600.0)
13677.	"L08-L10"	(10515.0 -2045.0)
13678.	"L08-L10"	(9846.0 -2261.0)
13679.	"L08-L10"	(11056.0 -1464.0)
13680.	"L04-L05"	(10030.0 -1650.0)
13681.	"L03-L04"	(10261.0 -1398.0)
13682.	"L04-L05"	(10355.0 -1355.0)
13683.	"SMALL_PTH"	(10500.0 -1500.0)
13684.	"L06-L07"	(10355.0 -1355.0)
13685.	"L04-L05"	(10266.0 -1944.0)
13686.	"L03-L04"	(10175.0 -2033.0)
13687.	"L02-L03"	(10220.0 -1888.0)
13688.	"L09-L10"	(9881.84 -2500.0)
13689.	"L07-L08"	(10546.0 -2245.0)
13690.	"L06-L07"	(10645.0 -2355.0)
13691.	"L04-L05"	(10815.0 -2499.0)
13692.	"L08-L09"	(10685.0 -2295.0)
13693.	"L09-L10"	(10770.0 -2230.0)
13694.	"L04-L05"	(10840.0 -345.0)
13695.	"L04-L05"	(10040.0 -645.0)
13696.	"L04-L05"	(10415.0 -95.0)
13697.	"L08-L10"	(10185.0 -755.0)
13698.	"L08-L10"	(10717.0 -983.0)
13699.	"L08-L10"	(9939.0 -1198.0)
13700.	"L04-L05"	(10540.0 -1150.0)
13701.	"L04-L05"	(10920.0 -1295.0)
13702.	"L02-L03"	(10252.0 -1180.0)
13703.	"L07-L08"	(10380.0 -1250.0)
13704.	"L08-L09"	(10295.0 -1315.0)
13705.	"L09-L10"	(10230.0 -1230.0)
13706.	"L07-L08"	(10380.0 -250.0)
13707.	"SMALL_PTH"	(10500.0 -500.0)
13708.	"L06-L07"	(10355.0 -355.0)
13709.	"L04-L05"	(10355.0 -355.0)
13710.	"L08-L09"	(10295.0 -315.0)
13711.	"L09-L10"	(10230.0 -230.0)
13712.	"L07-L08"	(9998.0 -1333.0)
13713.	"L06-L07"	(9996.0 -1225.0)
13714.	"L07-L08"	(10006.0 -498.0)
13715.	"L06-L07"	(10001.0 -246.0)
13716.	"L04-L05"	(10001.0 -265.0)
13717.	"L04-L05"	(10956.0 -697.0)
13718.	"SMALL_PTH"	(11000.0 -1000.0)
13719.	"L06-L07"	(11202.0 -1202.0)
13720.	"L04-L05"	(10135.0 250.0)
13721.	"L04-L05"	(11045.0 465.0)
13722.	"L08-L10"	(10797.0 -59.0)
13723.	"L08-L10"	(10762.0 900.0)
13724.	"L04-L05"	(10735.0 310.0)
13725.	"L04-L05"	(10945.0 15.0)
13726.	"L07-L08"	(10380.0 750.0)
13727.	"SMALL_PTH"	(10500.0 500.0)
