Reference_name,Ubump_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,ve_ucie32b_rxdata[12],43.82,648.4,R0,ve_ucie32b_rxdata[12],ve_ucie32b_rxdata[12]
UBUMP,ve_ucie32b_rxdata[29],107.46,648.4,R0,ve_ucie32b_rxdata[29],ve_ucie32b_rxdata[29]
UBUMP,ve_ucie32b_txckn,171.1,648.4,R0,ve_ucie32b_txckn,ve_ucie32b_txckn
UBUMP,ve_ucie32b_txdata[20],234.74,648.4,R0,ve_ucie32b_txdata[20],ve_ucie32b_txdata[20]
UBUMP,ve_vccio_9,298.38,648.4,R0,vccio,vccio
UBUMP,ve_vss_29,362.02,648.4,R0,vss,vss
UBUMP,ve_vccio_10,12,680.22,R0,vccio,vccio
UBUMP,ve_ucie32b_rxdata[14],75.64,680.22,R0,ve_ucie32b_rxdata[14],ve_ucie32b_rxdata[14]
UBUMP,ve_vss_30,139.28,680.22,R0,vss,vss
UBUMP,ve_ucie32b_txdata[23],202.92,680.22,R0,ve_ucie32b_txdata[23],ve_ucie32b_txdata[23]
UBUMP,ve_ucie32b_txdata[5],266.56,680.22,R0,ve_ucie32b_txdata[5],ve_ucie32b_txdata[5]
UBUMP,ve_gpio[7],330.2,680.22,R0,ve_gpio[7],ve_gpio[7]
UBUMP,ve_ucie32b_rxdata[13],43.82,712.04,R0,ve_ucie32b_rxdata[13],ve_ucie32b_rxdata[13]
UBUMP,ve_ucie32b_rxdata[30],107.46,712.04,R0,ve_ucie32b_rxdata[30],ve_ucie32b_rxdata[30]
UBUMP,ve_ucie32b_txckp,171.1,712.04,R0,ve_ucie32b_txckp,ve_ucie32b_txckp
UBUMP,ve_ucie32b_txdata[21],234.74,712.04,R0,ve_ucie32b_txdata[21],ve_ucie32b_txdata[21]
UBUMP,ve_vss_31,298.38,712.04,R0,vss,vss
UBUMP,ve_vss_32,362.02,712.04,R0,vss,vss
UBUMP,ve_vccio_11,12,743.86,R0,vccio,vccio
UBUMP,ve_vccio_12,75.64,743.86,R0,vccio,vccio
UBUMP,ve_ucie32b_rxdata[31],139.28,743.86,R0,ve_ucie32b_rxdata[31],ve_ucie32b_rxdata[31]
