Reference_name,Ubump_inst,X_origin,Y_origin,Orientation,Port_name,Net_name
UBUMP,ma_vss_13,75.64,425.66,R0,vss,vss
UBUMP,ma_ucie64b_txdata[45],139.28,425.66,R0,ma_ucie64b_txdata[45],ma_ucie64b_txdata[45]
UBUMP,ma_ucie64b_txvldRD,202.92,425.66,R0,ma_ucie64b_txvldRD,ma_ucie64b_txvldRD
UBUMP,ma_ucie64b_txdata[24],266.56,425.66,R0,ma_ucie64b_txdata[24],ma_ucie64b_txdata[24]
UBUMP,ma_ucie64b_txdata[8],330.2,425.66,R0,ma_ucie64b_txdata[8],ma_ucie64b_txdata[8]
UBUMP,ma_vccio_18,43.82,457.48,R0,vccio,vccio
UBUMP,ma_ucie64b_txdata[55],107.46,457.48,R0,ma_ucie64b_txdata[55],ma_ucie64b_txdata[55]
UBUMP,ma_ucie64b_txdata[39],171.1,457.48,R0,ma_ucie64b_txdata[39],ma_ucie64b_txdata[39]
UBUMP,ma_ucie64b_txckRD,234.74,457.48,R0,ma_ucie64b_txckRD,ma_ucie64b_txckRD
UBUMP,ma_ucie64b_txdata[18],298.38,457.48,R0,ma_ucie64b_txdata[18],ma_ucie64b_txdata[18]
UBUMP,ma_ucie64b_txdata[3],362.02,457.48,R0,ma_ucie64b_txdata[3],ma_ucie64b_txdata[3]
UBUMP,ma_vddc_0,12,489.3,R0,vddc,vddc
UBUMP,ma_ucie64b_txdata[60],75.64,489.3,R0,ma_ucie64b_txdata[60],ma_ucie64b_txdata[60]
UBUMP,ma_ucie64b_txdata[44],139.28,489.3,R0,ma_ucie64b_txdata[44],ma_ucie64b_txdata[44]
UBUMP,ma_ucie64b_txvld,202.92,489.3,R0,ma_ucie64b_txvld,ma_ucie64b_txvld
UBUMP,ma_vss_14,266.56,489.3,R0,vss,vss
UBUMP,ma_ucie64b_txdata[7],330.2,489.3,R0,ma_ucie64b_txdata[7],ma_ucie64b_txdata[7]
UBUMP,ma_vccio_19,43.82,521.12,R0,vccio,vccio
UBUMP,ma_ucie64b_txdata[56],107.46,521.12,R0,ma_ucie64b_txdata[56],ma_ucie64b_txdata[56]
UBUMP,ma_vss_15,171.1,521.12,R0,vss,vss
UBUMP,ma_ucie64b_txckn,234.74,521.12,R0,ma_ucie64b_txckn,ma_ucie64b_txckn
UBUMP,ma_ucie64b_txdata[19],298.38,521.12,R0,ma_ucie64b_txdata[19],ma_ucie64b_txdata[19]
UBUMP,ma_vss_16,362.02,521.12,R0,vss,vss
UBUMP,ma_vss_17,12,552.94,R0,vss,vss
UBUMP,ma_ucie64b_txdata[59],75.64,552.94,R0,ma_ucie64b_txdata[59],ma_ucie64b_txdata[59]
UBUMP,ma_ucie64b_txdata[43],139.28,552.94,R0,ma_ucie64b_txdata[43],ma_ucie64b_txdata[43]
UBUMP,ma_ucie64b_txtrk,202.92,552.94,R0,ma_ucie64b_txtrk,ma_ucie64b_txtrk
UBUMP,ma_ucie64b_txdata[23],266.56,552.94,R0,ma_ucie64b_txdata[23],ma_ucie64b_txdata[23]
UBUMP,ma_ucie64b_txdata[6],330.2,552.94,R0,ma_ucie64b_txdata[6],ma_ucie64b_txdata[6]
UBUMP,ma_vss_18,43.82,584.76,R0,vss,vss
UBUMP,ma_ucie64b_txdata[57],107.46,584.76,R0,ma_ucie64b_txdata[57],ma_ucie64b_txdata[57]
UBUMP,ma_ucie64b_txdata[40],171.1,584.76,R0,ma_ucie64b_txdata[40],ma_ucie64b_txdata[40]
UBUMP,ma_ucie64b_txckp,234.74,584.76,R0,ma_ucie64b_txckp,ma_ucie64b_txckp
UBUMP,ma_ucie64b_txdata[20],298.38,584.76,R0,ma_ucie64b_txdata[20],ma_ucie64b_txdata[20]
UBUMP,ma_ucie64b_txdata[4],362.02,584.76,R0,ma_ucie64b_txdata[4],ma_ucie64b_txdata[4]
UBUMP,ma_vss_19,12,616.58,R0,vss,vss
UBUMP,ma_vss_20,75.64,616.58,R0,vss,vss
UBUMP,ma_ucie64b_txdata[42],139.28,616.58,R0,ma_ucie64b_txdata[42],ma_ucie64b_txdata[42]
UBUMP,ma_vss_21,202.92,616.58,R0,vss,vss
UBUMP,ma_ucie64b_txdata[22],266.56,616.58,R0,ma_ucie64b_txdata[22],ma_ucie64b_txdata[22]
UBUMP,ma_ucie64b_txdata[5],330.2,616.58,R0,ma_ucie64b_txdata[5],ma_ucie64b_txdata[5]
UBUMP,ma_vss_22,43.82,648.4,R0,vss,vss
UBUMP,ma_ucie64b_txdata[58],107.46,648.4,R0,ma_ucie64b_txdata[58],ma_ucie64b_txdata[58]
UBUMP,ma_ucie64b_txdata[41],171.1,648.4,R0,ma_ucie64b_txdata[41],ma_ucie64b_txdata[41]
UBUMP,ma_vccio_20,234.74,648.4,R0,vccio,vccio
UBUMP,ma_ucie64b_txdata[21],298.38,648.4,R0,ma_ucie64b_txdata[21],ma_ucie64b_txdata[21]
UBUMP,ma_vccio_21,362.02,648.4,R0,vccio,vccio
UBUMP,ma_vdd1p8_1,12,680.22,R0,vdd1p8,vdd1p8
UBUMP,ma_vccfwdio_0,75.64,680.22,R0,vccfwdio,vccfwdio
UBUMP,ma_vccfwdio_1,139.28,680.22,R0,vccfwdio,vccfwdio
UBUMP,ma_vccfwdio_2,202.92,680.22,R0,vccfwdio,vccfwdio
